Gold (OG|GC) G5MM6 (0.03 DTE) vs 4037.1 (-59.2) - Open Interest
Put: 2,471  Call: 1,693  Vol: 24.92  Vol Chg: 4.33  Future Chg: -59.2
Strike,Call,Put,Vol Settle
4010,1,39,0.21636051340101403
4015,4,3,0.21406222183372847
4020,2,2,0.21183853787215412
4025,6,19,0.20969180560769018
4030,3,19,0.20762430937452336
4035,1,2,0.20563827374894572
4040,0,10,0.20373586354776307
4045,46,18,0.2019191838351162
4050,109,151,0.20019027991406801
4055,0,4,0.19855113733206053
4060,17,86,0.19700368187795902
4065,17,38,0.1955497795836436
